tail_number,lat,lon,alt,speed,fuel,timestamp
AAX001,33.942791,-118.410042,125.0,45.084,0.999,2025-01-01T10:34:23
AAX001,33.944516,-118.40931,129.7,45.084,0.998,2025-01-01T10:34:33
AAX001,33.94624,-118.408577,134.5,45.084,0.997,2025-01-01T10:34:43
AAX001,33.947965,-118.407845,139.2,45.084,0.996,2025-01-01T10:34:53
AAX001,33.94969,-118.407112,143.9,45.084,0.995,2025-01-01T10:35:03
AAX001,33.951415,-118.40638,148.7,45.084,0.994,2025-01-01T10:35:13
AAX001,33.953139,-118.405648,153.4,45.084,0.993,2025-01-01T10:35:23
AAX001,33.954864,-118.404915,158.1,45.084,0.992,2025-01-01T10:35:33
AAX001,33.956589,-118.404183,162.9,45.084,0.991,2025-01-01T10:35:43
AAX001,33.958313,-118.40345,167.6,45.084,0.99,2025-01-01T10:35:53
AAX001,33.960038,-118.402718,172.3,45.084,0.989,2025-01-01T10:36:03
AAX001,33.961763,-118.401986,177.1,45.084,0.988,2025-01-01T10:36:13
AAX001,33.963487,-118.401253,181.8,45.084,0.987,2025-01-01T10:36:23
AAX001,33.965212,-118.400521,186.5,45.084,0.986,2025-01-01T10:36:33
AAX001,33.966937,-118.399788,191.2,45.084,0.985,2025-01-01T10:36:43
AAX001,33.968662,-118.399056,196.0,45.084,0.984,2025-01-01T10:36:53
AAX001,33.970386,-118.398324,200.7,45.084,0.983,2025-01-01T10:37:03
AAX001,33.972111,-118.397591,205.4,45.084,0.982,2025-01-01T10:37:13
AAX001,33.973836,-118.396859,210.2,45.084,0.981,2025-01-01T10:37:23
AAX001,33.97556,-118.396126,214.9,45.084,0.98,2025-01-01T10:37:33
AAX001,33.977285,-118.395394,219.6,45.084,0.979,2025-01-01T10:37:43
AAX001,33.97901,-118.394661,224.4,45.084,0.978,2025-01-01T10:37:53
AAX001,33.980734,-118.393929,229.1,45.084,0.977,2025-01-01T10:38:03
AAX001,33.982459,-118.393197,233.8,45.084,0.976,2025-01-01T10:38:13
AAX001,33.984184,-118.392464,238.6,45.084,0.975,2025-01-01T10:38:23
AAX001,33.985909,-118.391732,243.3,45.084,0.974,2025-01-01T10:38:33
AAX001,33.987633,-118.390999,248.0,45.084,0.973,2025-01-01T10:38:43
AAX001,33.989358,-118.390267,252.8,45.084,0.972,2025-01-01T10:38:53
AAX001,33.991083,-118.389535,257.5,45.084,0.971,2025-01-01T10:39:03
AAX001,33.992807,-118.388802,262.2,45.084,0.97,2025-01-01T10:39:13
AAX001,33.994532,-118.38807,267.0,45.084,0.969,2025-01-01T10:39:23
AAX001,33.996257,-118.387337,271.7,45.084,0.968,2025-01-01T10:39:33
AAX001,33.997981,-118.386605,276.4,45.084,0.967,2025-01-01T10:39:43
AAX001,33.999706,-118.385873,281.2,45.084,0.966,2025-01-01T10:39:53
AAX001,34.001431,-118.38514,285.9,45.084,0.965,2025-01-01T10:40:03
AAX001,34.003156,-118.384408,290.6,45.084,0.964,2025-01-01T10:40:13
AAX001,34.00488,-118.383675,295.3,45.084,0.963,2025-01-01T10:40:23
AAX001,34.006605,-118.382943,300.1,45.084,0.962,2025-01-01T10:40:33
AAX001,34.00833,-118.382211,304.8,45.084,0.961,2025-01-01T10:40:43
AAX001,34.010054,-118.381478,309.5,45.084,0.96,2025-01-01T10:40:53
AAX001,34.011779,-118.380746,314.3,45.084,0.959,2025-01-01T10:41:03
AAX001,34.013504,-118.380013,319.0,45.084,0.958,2025-01-01T10:41:13
AAX001,34.015229,-118.379281,323.7,45.084,0.957,2025-01-01T10:41:23
AAX001,34.016953,-118.378549,328.5,45.084,0.956,2025-01-01T10:41:33
AAX001,34.018678,-118.377816,333.2,45.084,0.955,2025-01-01T10:41:43
AAX001,34.020403,-118.377084,337.9,45.084,0.954,2025-01-01T10:41:53
AAX001,34.022127,-118.376351,342.7,45.084,0.953,2025-01-01T10:42:03
AAX001,34.023852,-118.375619,347.4,45.084,0.952,2025-01-01T10:42:13
AAX001,34.025577,-118.374887,352.1,45.084,0.951,2025-01-01T10:42:23
AAX001,34.027301,-118.374154,356.9,45.084,0.95,2025-01-01T10:42:33
AAX001,34.029026,-118.373422,361.6,45.084,0.949,2025-01-01T10:42:43
AAX001,34.030751,-118.372689,366.3,45.084,0.948,2025-01-01T10:42:53
AAX001,34.032476,-118.371957,371.1,45.084,0.947,2025-01-01T10:43:03
AAX001,34.0342,-118.371224,375.8,45.084,0.946,2025-01-01T10:43:13
AAX001,34.035925,-118.370492,380.5,45.084,0.945,2025-01-01T10:43:23
AAX001,34.03765,-118.36976,385.3,45.084,0.944,2025-01-01T10:43:33
AAX001,34.039374,-118.369027,390.0,45.084,0.943,2025-01-01T10:43:43
AAX001,34.041099,-118.368295,394.7,45.084,0.942,2025-01-01T10:43:53
AAX001,34.042824,-118.367562,399.4,45.084,0.941,2025-01-01T10:44:03
AAX001,34.044548,-118.36683,404.2,45.084,0.94,2025-01-01T10:44:13
AAX001,34.046273,-118.366098,408.9,45.084,0.939,2025-01-01T10:44:23
AAX001,34.047998,-118.365365,413.6,45.084,0.938,2025-01-01T10:44:33
AAX001,34.049723,-118.364633,418.4,45.084,0.937,2025-01-01T10:44:43
AAX001,34.051447,-118.3639,423.1,45.084,0.936,2025-01-01T10:44:53
AAX001,34.053172,-118.363168,427.8,45.084,0.935,2025-01-01T10:45:03
AAX001,34.054897,-118.362436,432.6,45.084,0.934,2025-01-01T10:45:13
AAX001,34.056621,-118.361703,437.3,45.084,0.933,2025-01-01T10:45:23
