tail_number,lat,lon,alt,timestamp
AAX001,33.942791,-118.410042,125.0,2025-01-01T11:31:03
AAX001,33.944665,-118.409246,130.1,2025-01-01T11:31:13
AAX001,33.946539,-118.40845,135.3,2025-01-01T11:31:23
AAX001,33.948413,-118.407654,140.4,2025-01-01T11:31:33
AAX001,33.950287,-118.406859,145.6,2025-01-01T11:31:43
AAX001,33.952161,-118.406063,150.7,2025-01-01T11:31:53
AAX001,33.954036,-118.405267,155.9,2025-01-01T11:32:03
AAX001,33.95591,-118.404471,161.0,2025-01-01T11:32:13
AAX001,33.957784,-118.403675,166.1,2025-01-01T11:32:23
AAX001,33.959658,-118.402879,171.3,2025-01-01T11:32:33
AAX001,33.961532,-118.402084,176.4,2025-01-01T11:32:43
AAX001,33.963406,-118.401288,181.6,2025-01-01T11:32:53
AAX001,33.96528,-118.400492,186.7,2025-01-01T11:33:03
AAX001,33.967154,-118.399696,191.8,2025-01-01T11:33:13
AAX001,33.969028,-118.3989,197.0,2025-01-01T11:33:23
AAX001,33.970902,-118.398104,202.1,2025-01-01T11:33:33
AAX001,33.972776,-118.397309,207.3,2025-01-01T11:33:43
AAX001,33.97465,-118.396513,212.4,2025-01-01T11:33:53
AAX001,33.976525,-118.395717,217.6,2025-01-01T11:34:03
AAX001,33.978399,-118.394921,222.7,2025-01-01T11:34:13
AAX001,33.980273,-118.394125,227.8,2025-01-01T11:34:23
AAX001,33.982147,-118.393329,233.0,2025-01-01T11:34:33
AAX001,33.984021,-118.392533,238.1,2025-01-01T11:34:43
AAX001,33.985895,-118.391738,243.3,2025-01-01T11:34:53
AAX001,33.987769,-118.390942,248.4,2025-01-01T11:35:03
AAX001,33.989643,-118.390146,253.5,2025-01-01T11:35:13
AAX001,33.991517,-118.38935,258.7,2025-01-01T11:35:23
AAX001,33.993391,-118.388554,263.8,2025-01-01T11:35:33
AAX001,33.995265,-118.387758,269.0,2025-01-01T11:35:43
AAX001,33.99714,-118.386963,274.1,2025-01-01T11:35:53
AAX001,33.999014,-118.386167,279.3,2025-01-01T11:36:03
AAX001,34.000888,-118.385371,284.4,2025-01-01T11:36:13
AAX001,34.002762,-118.384575,289.5,2025-01-01T11:36:23
AAX001,34.004636,-118.383779,294.7,2025-01-01T11:36:33
AAX001,34.00651,-118.382983,299.8,2025-01-01T11:36:43
AAX001,34.008384,-118.382188,305.0,2025-01-01T11:36:53
AAX001,34.010258,-118.381392,310.1,2025-01-01T11:37:03
AAX001,34.012132,-118.380596,315.2,2025-01-01T11:37:13
AAX001,34.014006,-118.3798,320.4,2025-01-01T11:37:23
AAX001,34.01588,-118.379004,325.5,2025-01-01T11:37:33
AAX001,34.017754,-118.378208,330.7,2025-01-01T11:37:43
AAX001,34.019629,-118.377412,335.8,2025-01-01T11:37:53
