tail_number,lat,lon,alt,speed,heading,fuel,timestamp
AAX001,33.942791,-118.410042,125.0,49.188,19.4,0.999,2025-01-01T11:51:22
AAX001,33.94468,-118.40924,130.2,49.188,19.4,0.998,2025-01-01T11:51:32
AAX001,33.946569,-118.408438,135.4,49.188,19.4,0.997,2025-01-01T11:51:42
AAX001,33.948458,-118.407636,140.5,49.188,19.4,0.996,2025-01-01T11:51:52
AAX001,33.950347,-118.406833,145.7,49.188,19.4,0.995,2025-01-01T11:52:02
AAX001,33.952236,-118.406031,150.9,49.188,19.4,0.994,2025-01-01T11:52:12
AAX001,33.954125,-118.405229,156.1,49.188,19.4,0.993,2025-01-01T11:52:22
AAX001,33.956014,-118.404427,161.3,49.188,19.4,0.992,2025-01-01T11:52:32
AAX001,33.957903,-118.403625,166.5,49.188,19.4,0.991,2025-01-01T11:52:42
AAX001,33.959792,-118.402823,171.6,49.188,19.4,0.99,2025-01-01T11:52:52
AAX001,33.961681,-118.40202,176.8,49.188,19.4,0.989,2025-01-01T11:53:02
AAX001,33.96357,-118.401218,182.0,49.188,19.4,0.988,2025-01-01T11:53:12
AAX001,33.965459,-118.400416,187.2,49.188,19.4,0.987,2025-01-01T11:53:22
AAX001,33.967347,-118.399614,192.4,49.188,19.4,0.986,2025-01-01T11:53:32
AAX001,33.969236,-118.398812,197.6,49.188,19.4,0.985,2025-01-01T11:53:42
AAX001,33.971125,-118.39801,202.7,49.188,19.4,0.984,2025-01-01T11:53:52
AAX001,33.973014,-118.397207,207.9,49.188,19.4,0.983,2025-01-01T11:54:02
AAX001,33.974903,-118.396405,213.1,49.188,19.4,0.982,2025-01-01T11:54:12
AAX001,33.976792,-118.395603,218.3,49.188,19.4,0.981,2025-01-01T11:54:22
AAX001,33.978681,-118.394801,223.5,49.188,19.4,0.98,2025-01-01T11:54:32
AAX001,33.98057,-118.393999,228.7,49.188,19.4,0.979,2025-01-01T11:54:42
AAX001,33.982459,-118.393197,233.8,49.188,19.4,0.978,2025-01-01T11:54:52
AAX001,33.984348,-118.392395,239.0,49.188,19.4,0.977,2025-01-01T11:55:02
AAX001,33.986237,-118.391592,244.2,49.188,19.4,0.976,2025-01-01T11:55:12
AAX001,33.988126,-118.39079,249.4,49.188,19.4,0.975,2025-01-01T11:55:22
AAX001,33.990015,-118.389988,254.6,49.188,19.4,0.974,2025-01-01T11:55:32
AAX001,33.991904,-118.389186,259.7,49.188,19.4,0.973,2025-01-01T11:55:42
AAX001,33.993793,-118.388384,264.9,49.188,19.4,0.972,2025-01-01T11:55:52
AAX001,33.995682,-118.387582,270.1,49.188,19.4,0.971,2025-01-01T11:56:02
AAX001,33.997571,-118.386779,275.3,49.188,19.4,0.97,2025-01-01T11:56:12
AAX001,33.99946,-118.385977,280.5,49.188,19.4,0.969,2025-01-01T11:56:22
AAX001,34.001349,-118.385175,285.7,49.188,19.4,0.968,2025-01-01T11:56:32
AAX001,34.003238,-118.384373,290.8,49.188,19.4,0.967,2025-01-01T11:56:42
AAX001,34.005127,-118.383571,296.0,49.188,19.4,0.966,2025-01-01T11:56:52
AAX001,34.007016,-118.382769,301.2,49.188,19.4,0.965,2025-01-01T11:57:02
AAX001,34.008905,-118.381966,306.4,49.188,19.4,0.964,2025-01-01T11:57:12
AAX001,34.010794,-118.381164,311.6,49.188,19.4,0.963,2025-01-01T11:57:22
AAX001,34.012683,-118.380362,316.8,49.188,19.4,0.962,2025-01-01T11:57:32
AAX001,34.014571,-118.37956,321.9,49.188,19.4,0.961,2025-01-01T11:57:42
AAX001,34.01646,-118.378758,327.1,49.188,19.4,0.96,2025-01-01T11:57:52
AAX001,34.018349,-118.377956,332.3,49.188,19.4,0.959,2025-01-01T11:58:02
AAX001,34.020238,-118.377153,337.5,49.188,19.4,0.958,2025-01-01T11:58:12
AAX001,34.022127,-118.376351,342.7,49.188,19.4,0.957,2025-01-01T11:58:22
AAX001,34.024016,-118.375549,347.8,49.188,19.4,0.956,2025-01-01T11:58:32
AAX001,34.025905,-118.374747,353.0,49.188,19.4,0.955,2025-01-01T11:58:42
AAX001,34.027794,-118.373945,358.2,49.188,19.4,0.954,2025-01-01T11:58:52
AAX001,34.029683,-118.373143,363.4,49.188,19.4,0.953,2025-01-01T11:59:02
AAX001,34.031572,-118.372341,368.6,49.188,19.4,0.952,2025-01-01T11:59:12
AAX001,34.033461,-118.371538,373.8,49.188,19.4,0.951,2025-01-01T11:59:22
AAX001,34.03535,-118.370736,378.9,49.188,19.4,0.95,2025-01-01T11:59:32
AAX001,34.037239,-118.369934,384.1,49.188,19.4,0.949,2025-01-01T11:59:42
AAX001,34.039128,-118.369132,389.3,49.188,19.4,0.948,2025-01-01T11:59:52
AAX001,34.041017,-118.36833,394.5,49.188,19.4,0.947,2025-01-01T12:00:02
AAX001,34.042906,-118.367528,399.7,49.188,19.4,0.946,2025-01-01T12:00:12
AAX001,34.044795,-118.366725,404.9,49.188,19.4,0.945,2025-01-01T12:00:22
AAX001,34.046684,-118.365923,410.0,49.188,19.4,0.944,2025-01-01T12:00:32
AAX001,34.048573,-118.365121,415.2,49.188,19.4,0.943,2025-01-01T12:00:42
AAX001,34.050462,-118.364319,420.4,49.188,19.4,0.942,2025-01-01T12:00:52
AAX001,34.052351,-118.363517,425.6,49.188,19.4,0.941,2025-01-01T12:01:02
AAX001,34.05424,-118.362715,430.8,49.188,19.4,0.94,2025-01-01T12:01:12
AAX001,34.056129,-118.361912,436.0,49.188,19.4,0.939,2025-01-01T12:01:22
AAX001,34.058018,-118.36111,441.1,49.188,19.4,0.938,2025-01-01T12:01:32
AAX001,34.059907,-118.360308,446.3,49.188,19.4,0.937,2025-01-01T12:01:42
AAX001,34.061796,-118.359506,451.5,49.188,19.4,0.936,2025-01-01T12:01:52
AAX001,34.063684,-118.358704,456.7,49.188,19.4,0.935,2025-01-01T12:02:02
AAX001,34.065573,-118.357902,461.9,49.188,19.4,0.934,2025-01-01T12:02:12
AAX001,34.067462,-118.3571,467.0,49.188,19.4,0.933,2025-01-01T12:02:22
AAX001,34.069351,-118.356297,472.2,49.188,19.4,0.932,2025-01-01T12:02:32
AAX001,34.07124,-118.355495,477.4,49.188,19.4,0.931,2025-01-01T12:02:42
AAX001,34.073129,-118.354693,482.6,49.188,19.4,0.93,2025-01-01T12:02:52
AAX001,34.075018,-118.353891,487.8,49.188,19.4,0.929,2025-01-01T12:03:02
AAX001,34.076907,-118.353089,493.0,49.188,19.4,0.928,2025-01-01T12:03:12
AAX001,34.078796,-118.352287,498.1,49.188,19.4,0.927,2025-01-01T12:03:22
AAX001,34.080685,-118.351484,503.3,49.188,19.4,0.926,2025-01-01T12:03:32
AAX001,34.082574,-118.350682,508.5,49.188,19.4,0.925,2025-01-01T12:03:42
AAX001,34.084463,-118.34988,513.7,49.188,19.4,0.924,2025-01-01T12:03:52
AAX001,34.086352,-118.349078,518.9,49.188,19.4,0.923,2025-01-01T12:04:02
AAX001,34.088241,-118.348276,524.1,49.188,19.4,0.922,2025-01-01T12:04:12
AAX001,34.09013,-118.347474,529.2,49.188,19.4,0.921,2025-01-01T12:04:22
AAX001,34.092019,-118.346671,534.4,49.188,19.4,0.92,2025-01-01T12:04:32
AAX001,34.093908,-118.345869,539.6,49.188,19.4,0.919,2025-01-01T12:04:42
AAX001,34.095797,-118.345067,544.8,49.188,19.4,0.918,2025-01-01T12:04:52
AAX001,34.097686,-118.344265,550.0,49.188,19.4,0.917,2025-01-01T12:05:02
AAX001,34.099575,-118.343463,555.2,49.188,19.4,0.916,2025-01-01T12:05:12
AAX001,34.101464,-118.342661,560.3,49.188,19.4,0.915,2025-01-01T12:05:22
AAX001,34.103353,-118.341859,565.5,49.188,19.4,0.914,2025-01-01T12:05:32
AAX001,34.105242,-118.341056,570.7,49.188,19.4,0.913,2025-01-01T12:05:42
AAX001,34.107131,-118.340254,575.9,49.188,19.4,0.912,2025-01-01T12:05:52
AAX001,34.10902,-118.339452,581.1,49.188,19.4,0.911,2025-01-01T12:06:02
AAX001,34.110908,-118.33865,586.2,49.188,19.4,0.91,2025-01-01T12:06:12
AAX001,34.112797,-118.337848,591.4,49.188,19.4,0.909,2025-01-01T12:06:22
AAX001,34.114686,-118.337046,596.6,49.188,19.4,0.908,2025-01-01T12:06:32
