tail_number,latitude,longitude,altitude,heading,speed,fuel,timestamp
AAA001,34.742072,-117.469851,1283,60.1,25,0.999,2025-01-01T09:34:15
AAA001,34.748553,-117.476218,1283,321.1,25,0.998,2025-01-01T09:35:13.130527
AAA001,34.754116,-117.485552,1283,306.0,25,0.997,2025-01-01T09:36:11.261053
AAA001,34.757251,-117.497582,1283,287.6,25,0.996,2025-01-01T09:37:09.391580
AAA001,34.758737,-117.51117,1283,277.6,25,0.995,2025-01-01T09:38:07.522106
AAA001,34.758424,-117.526319,1283,268.6,25,0.994,2025-01-01T09:39:05.652633
AAA001,34.756705,-117.542889,1283,262.8,25,0.993,2025-01-01T09:40:03.783160
AAA001,34.753342,-117.560699,1283,257.1,25,0.992,2025-01-01T09:41:01.913686
AAA001,34.74862,-117.579178,1283,252.7,25,0.991,2025-01-01T09:42:00.044213
AAA001,34.741806,-117.59764,1283,245.8,25,0.99,2025-01-01T09:42:58.174739
AAA001,34.734079,-117.616214,1283,243.2,25,0.989,2025-01-01T09:43:56.305266
AAA001,34.725158,-117.633854,1283,238.4,25,0.988,2025-01-01T09:44:54.435792
AAA001,34.715411,-117.650005,1283,233.7,25,0.987,2025-01-01T09:45:52.566319
AAA001,34.70438,-117.664351,1283,226.9,25,0.986,2025-01-01T09:46:50.696846
AAA001,34.693151,-117.676857,1283,222.5,25,0.985,2025-01-01T09:47:48.827372
AAA001,34.682056,-117.686754,1283,216.3,25,0.984,2025-01-01T09:48:46.957899
AAA001,34.671138,-117.693982,1283,208.6,25,0.983,2025-01-01T09:49:45.088425
AAA001,34.660913,-117.699064,1283,202.2,25,0.982,2025-01-01T09:50:43.218952
AAA001,34.650635,-117.701324,1283,190.3,25,0.981,2025-01-01T09:51:41.349479
AAA001,34.641272,-117.7003,1283,174.9,25,0.98,2025-01-01T09:52:39.480005
AAA001,34.633011,-117.696706,1283,160.3,25,0.979,2025-01-01T09:53:37.610532
AAA001,34.62629,-117.690183,1283,141.4,25,0.978,2025-01-01T09:54:35.741058
AAA001,34.620916,-117.681422,1283,126.7,25,0.977,2025-01-01T09:55:33.871585
AAA001,34.617049,-117.669788,1283,112.0,25,0.976,2025-01-01T09:56:32.002111
AAA001,34.615402,-117.656078,1283,98.3,25,0.975,2025-01-01T09:57:30.132638
AAA001,34.615371,-117.640485,1283,90.1,25,0.974,2025-01-01T09:58:28.263165
AAA001,34.616708,-117.623938,1283,84.4,25,0.973,2025-01-01T09:59:26.393691
AAA001,34.62012,-117.605848,1283,77.1,25,0.972,2025-01-01T10:00:24.524218
AAA001,34.625205,-117.587144,1283,71.7,25,0.971,2025-01-01T10:01:22.654744
AAA001,34.632218,-117.568872,1283,65.0,25,0.97,2025-01-01T10:02:20.785271
AAA001,34.640489,-117.550513,1283,61.3,25,0.969,2025-01-01T10:03:18.915798
AAA001,34.649277,-117.533435,1283,58.0,25,0.968,2025-01-01T10:04:17.046324
AAA001,34.659561,-117.517129,1283,52.5,25,0.967,2025-01-01T10:05:15.176851
AAA001,34.67033,-117.502731,1283,47.7,25,0.966,2025-01-01T10:06:13.307377
AAA001,34.681773,-117.490116,1283,42.2,25,0.965,2025-01-01T10:07:11.437904
AAA001,34.692642,-117.480262,1283,36.7,25,0.964,2025-01-01T10:08:09.568431
AAA001,34.703697,-117.47238,1283,30.4,25,0.963,2025-01-01T10:09:07.698957
AAA001,34.714197,-117.467339,1283,21.5,25,0.962,2025-01-01T10:10:05.829484
AAA001,34.724009,-117.465303,1283,9.7,25,0.961,2025-01-01T10:11:03.960010
AAA001,34.733119,-117.466324,1283,354.7,25,0.96,2025-01-01T10:12:02.090537
AAA001,34.741232,-117.470494,1283,337.1,25,0.959,2025-01-01T10:13:00.221063
AAA001,34.748235,-117.476967,1283,322.8,25,0.958,2025-01-01T10:13:58.351590
AAA001,34.753008,-117.486562,1283,301.2,25,0.957,2025-01-01T10:14:56.482117
AAA001,34.756948,-117.497854,1283,293.0,25,0.956,2025-01-01T10:15:54.612643
AAA001,34.758413,-117.511407,1283,277.5,25,0.955,2025-01-01T10:16:52.743170
AAA001,34.758047,-117.526569,1283,268.3,25,0.954,2025-01-01T10:17:50.873696
AAA001,34.756703,-117.543042,1283,264.3,25,0.953,2025-01-01T10:18:49.004223
AAA001,34.753004,-117.560437,1283,255.5,25,0.952,2025-01-01T10:19:47.134750
AAA001,34.747634,-117.579355,1283,250.9,25,0.951,2025-01-01T10:20:45.265276
AAA001,34.740689,-117.597732,1283,245.3,25,0.95,2025-01-01T10:21:43.395803
AAA001,34.733143,-117.615498,1283,242.7,25,0.949,2025-01-01T10:22:41.526329
AAA001,34.724396,-117.63237,1283,237.8,25,0.948,2025-01-01T10:23:39.656856
AAA001,34.714628,-117.648143,1283,233.0,25,0.947,2025-01-01T10:24:37.787382
AAA001,34.703904,-117.662279,1283,227.3,25,0.946,2025-01-01T10:25:35.917909
AAA001,34.693049,-117.675045,1283,224.0,25,0.945,2025-01-01T10:26:34.048436
AAA001,34.681827,-117.685022,1283,216.2,25,0.944,2025-01-01T10:27:32.178962
AAA001,34.670997,-117.692219,1283,208.7,25,0.943,2025-01-01T10:28:30.309489
AAA001,34.660811,-117.696773,1283,200.2,25,0.942,2025-01-01T10:29:28.440015
AAA001,34.650718,-117.698822,1283,189.5,25,0.941,2025-01-01T10:30:26.570542
AAA001,34.641495,-117.698082,1283,176.2,25,0.94,2025-01-01T10:31:24.701069
AAA001,34.633438,-117.694759,1283,161.3,25,0.939,2025-01-01T10:32:22.831595
AAA001,34.627164,-117.68844,1283,140.4,25,0.938,2025-01-01T10:33:20.962122
AAA001,34.621538,-117.678958,1283,125.8,25,0.937,2025-01-01T10:34:19.092648
AAA001,34.617849,-117.667372,1283,111.1,25,0.936,2025-01-01T10:35:17.223175
AAA001,34.616159,-117.653859,1283,98.6,25,0.935,2025-01-01T10:36:15.353702
AAA001,34.615906,-117.638561,1283,91.1,25,0.934,2025-01-01T10:37:13.484228
