name,site_type,latitude,longitude,elevation
Stealthwind Airfield 1,airfield,34.76249,-117.50084,1233
Stealthwind Airfield 2,airfield,34.78561,-117.45964,1235
Blue Mesa Flight Hub 1,airfield,34.59195,-117.84279,1265
Blue Mesa Flight Hub 2,airfield,34.63603,-117.80640,1263
Blue Mesa Flight Hub 3,airfield,34.67670,-117.81464,1263
Shadow Valley Airstrip 1,airfield,34.51561,-117.78236,1178
Shadow Valley Airstrip 2,airfield,34.50429,-117.67937,1177
Shadow Valley Airstrip 3,airfield,34.45618,-117.72606,1181
target_1,poi,34.66371,-117.67113,1275
target_2,poi,34.68912,-117.61620,1297
target_3,poi,34.67726,-117.53586,1291
target_4,poi,34.70775,-117.52144,1265
target_5,poi,34.67162,-117.57500,1350
